Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FptBook_TestSuite,Firefox 88.0,,,2021-11-05 09:07:14,2021-11-05 09:09:04,1m - 50.036s,FAILED
,,,,,,,
Test Cases/FptBook/FptBook_Automation_Screenshot_EmptyCart,Firefox 88.0,,,2021-11-05 09:07:16,2021-11-05 09:07:34,17.228s,FAILED
"openBrowser("""")",Firefox 88.0,,,2021-11-05 09:07:20,2021-11-05 09:07:33,13.011s,FAILED
Start tear down : tearDown,Firefox 88.0,,,2021-11-05 09:07:33,2021-11-05 09:07:34,0.439s,PASSED
,,,,,,,
Test Cases/FptBook/FptBook_Automation_ScreenShot_ProductCart,Firefox 88.0,,,2021-11-05 09:07:34,2021-11-05 09:08:28,54.271s,FAILED
"openBrowser("""")",Firefox 88.0,,,2021-11-05 09:07:38,2021-11-05 09:07:55,17.856s,PASSED
"navigateToUrl(""http://fptbookstore.slimair.cool/"")",Firefox 88.0,,,2021-11-05 09:07:55,2021-11-05 09:08:02,6.536s,PASSED
maximizeWindow(),Firefox 88.0,,,2021-11-05 09:08:02,2021-11-05 09:08:02,0.409s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/a_Login""))",Firefox 88.0,,,2021-11-05 09:08:02,2021-11-05 09:08:06,4.090s,PASSED
"setText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Email_Input.Email""), ""phuongnnse@fpt.edu.vn"")",Firefox 88.0,,,2021-11-05 09:08:06,2021-11-05 09:08:08,1.920s,PASSED
"setEncryptedText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Password_Input.Password""), ""rBiF04Ek6lW1rw3U6XrRJA=="")",Firefox 88.0,,,2021-11-05 09:08:08,2021-11-05 09:08:10,1.507s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/button_Log in""))",Firefox 88.0,,,2021-11-05 09:08:10,2021-11-05 09:08:13,3.535s,PASSED
delay(3),Firefox 88.0,,,2021-11-05 09:08:13,2021-11-05 09:08:17,3.343s,PASSED
"scrollToElement(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/img_Book""), 10)",Firefox 88.0,,,2021-11-05 09:08:17,2021-11-05 09:08:17,0.686s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/img_Book""))",Firefox 88.0,,,2021-11-05 09:08:17,2021-11-05 09:08:20,2.456s,PASSED
"setText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Quantity_AddToCartInput.Count""), ""4"")",Firefox 88.0,,,2021-11-05 09:08:20,2021-11-05 09:08:21,1.277s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/button_Add to cart""))",Firefox 88.0,,,2021-11-05 09:08:21,2021-11-05 09:08:23,1.887s,PASSED
delay(2),Firefox 88.0,,,2021-11-05 09:08:23,2021-11-05 09:08:25,2.066s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/a_Cart(1)""))",Firefox 88.0,,,2021-11-05 09:08:25,2021-11-05 09:08:26,0.922s,FAILED
Start tear down : tearDown,Firefox 88.0,,,2021-11-05 09:08:26,2021-11-05 09:08:28,1.786s,PASSED
,,,,,,,
Test Cases/FptBook/FptBook_Automation_ScreenShot_Different_ProductCart,Firefox 88.0,,,2021-11-05 09:08:28,2021-11-05 09:09:04,35.559s,FAILED
"openBrowser("""")",Firefox 88.0,,,2021-11-05 09:08:30,2021-11-05 09:08:37,6.813s,PASSED
maximizeWindow(),Firefox 88.0,,,2021-11-05 09:08:37,2021-11-05 09:08:37,0.066s,PASSED
"navigateToUrl(""http://fptbookstore.slimair.cool/"")",Firefox 88.0,,,2021-11-05 09:08:37,2021-11-05 09:08:41,4.333s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/a_Login""))",Firefox 88.0,,,2021-11-05 09:08:41,2021-11-05 09:08:44,2.775s,PASSED
"setText(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/input_Email_Input.Email""), ""phuongnnse@fpt.edu.vn"")",Firefox 88.0,,,2021-11-05 09:08:44,2021-11-05 09:08:46,1.568s,PASSED
"setEncryptedText(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/input_Password_Input.Password""), ""rBiF04Ek6lW1rw3U6XrRJA=="")",Firefox 88.0,,,2021-11-05 09:08:46,2021-11-05 09:08:47,0.825s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/button_Log in""))",Firefox 88.0,,,2021-11-05 09:08:47,2021-11-05 09:08:50,3.080s,PASSED
"scrollToElement(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/img_Product""), 10)",Firefox 88.0,,,2021-11-05 09:08:50,2021-11-05 09:08:51,1.462s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/img_Product""))",Firefox 88.0,,,2021-11-05 09:08:51,2021-11-05 09:08:54,2.678s,PASSED
delay(3),Firefox 88.0,,,2021-11-05 09:08:54,2021-11-05 09:08:57,3.044s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/price_Product""))",Firefox 88.0,,,2021-11-05 09:08:57,2021-11-05 09:08:58,1.152s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/button_Add to cart""))",Firefox 88.0,,,2021-11-05 09:08:58,2021-11-05 09:09:00,2.499s,PASSED
delay(2),Firefox 88.0,,,2021-11-05 09:09:01,2021-11-05 09:09:03,2.061s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/a_Cart(1)""))",Firefox 88.0,,,2021-11-05 09:09:03,2021-11-05 09:09:04,0.980s,FAILED
