Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FptBook_TestSuite,Chrome 95.0.4638.69,,,2021-11-05 15:56:57,2021-11-05 15:59:08,2m - 10.980s,PASSED
,,,,,,,
Test Cases/FptBook/FptBook_Automation_Screenshot_EmptyCart,Chrome 95.0.4638.69,,,2021-11-05 15:56:58,2021-11-05 15:57:56,57.757s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-05 15:56:59,2021-11-05 15:57:06,7.654s,PASSED
"navigateToUrl(""http://fptbookstore.slimair.cool/"")",Chrome 95.0.4638.69,,,2021-11-05 15:57:06,2021-11-05 15:57:43,36.696s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-05 15:57:43,2021-11-05 15:57:43,0.266s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/a_Login""))",Chrome 95.0.4638.69,,,2021-11-05 15:57:43,2021-11-05 15:57:45,1.581s,PASSED
"setText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Email_Input.Email""), ""phuongnnse@fpt.edu.vn"")",Chrome 95.0.4638.69,,,2021-11-05 15:57:45,2021-11-05 15:57:46,1.233s,PASSED
"setEncryptedText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Password_Input.Password""), ""rBiF04Ek6lW1rw3U6XrRJA=="")",Chrome 95.0.4638.69,,,2021-11-05 15:57:46,2021-11-05 15:57:47,0.596s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/button_Log in""))",Chrome 95.0.4638.69,,,2021-11-05 15:57:47,2021-11-05 15:57:49,1.747s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-05 15:57:49,2021-11-05 15:57:52,3.063s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/a_Cart(1)""))",Chrome 95.0.4638.69,,,2021-11-05 15:57:52,2021-11-05 15:57:53,1.208s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/empty_product_Cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:57:53,2021-11-05 15:57:53,0.597s,PASSED
"takeElementScreenshotAsCheckpoint(""report_Empty_Cart"", findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/empty_product_Cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:57:53,2021-11-05 15:57:56,2.052s,PASSED
Start tear down : tearDown,Chrome 95.0.4638.69,,,2021-11-05 15:57:56,2021-11-05 15:57:56,0.193s,PASSED
,,,,,,,
Test Cases/FptBook/FptBook_Automation_ScreenShot_ProductCart,Chrome 95.0.4638.69,,,2021-11-05 15:57:56,2021-11-05 15:58:42,46.703s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-05 15:57:56,2021-11-05 15:57:58,1.971s,PASSED
"navigateToUrl(""http://fptbookstore.slimair.cool/"")",Chrome 95.0.4638.69,,,2021-11-05 15:57:58,2021-11-05 15:58:21,23.228s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-05 15:58:21,2021-11-05 15:58:22,0.222s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/a_Login""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:22,2021-11-05 15:58:24,2.579s,PASSED
"setText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Email_Input.Email""), ""phuongnnse@fpt.edu.vn"")",Chrome 95.0.4638.69,,,2021-11-05 15:58:24,2021-11-05 15:58:25,1.177s,PASSED
"setEncryptedText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Password_Input.Password""), ""rBiF04Ek6lW1rw3U6XrRJA=="")",Chrome 95.0.4638.69,,,2021-11-05 15:58:25,2021-11-05 15:58:26,0.479s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/button_Log in""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:26,2021-11-05 15:58:28,2.679s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-05 15:58:28,2021-11-05 15:58:31,3.012s,PASSED
"scrollToElement(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/img_Book""), 10)",Chrome 95.0.4638.69,,,2021-11-05 15:58:31,2021-11-05 15:58:32,0.439s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/img_Book""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:32,2021-11-05 15:58:34,2.178s,PASSED
"setText(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/input_Quantity_AddToCartInput.Count""), ""4"")",Chrome 95.0.4638.69,,,2021-11-05 15:58:34,2021-11-05 15:58:35,1.073s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/button_Add to cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:35,2021-11-05 15:58:37,1.550s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-05 15:58:37,2021-11-05 15:58:39,2.006s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/a_Cart(1)""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:39,2021-11-05 15:58:40,1.217s,PASSED
"click(findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/product_Cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:40,2021-11-05 15:58:41,0.585s,PASSED
"takeElementScreenshotAsCheckpoint(""report_Product_Cart"", findTestObject(""FptBook_Product_Cart_Repo/Page_Home  FptBookStore/product_Cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:41,2021-11-05 15:58:42,1.757s,PASSED
Start tear down : tearDown,Chrome 95.0.4638.69,,,2021-11-05 15:58:42,2021-11-05 15:58:42,0.190s,PASSED
,,,,,,,
Test Cases/FptBook/FptBook_Automation_ScreenShot_Different_ProductCart,Chrome 95.0.4638.69,,,2021-11-05 15:58:42,2021-11-05 15:59:08,25.843s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-05 15:58:43,2021-11-05 15:58:45,2.007s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-05 15:58:45,2021-11-05 15:58:45,0.180s,PASSED
"navigateToUrl(""http://fptbookstore.slimair.cool/"")",Chrome 95.0.4638.69,,,2021-11-05 15:58:45,2021-11-05 15:58:51,5.599s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/a_Login""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:51,2021-11-05 15:58:52,1.210s,PASSED
"setText(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/input_Email_Input.Email""), ""phuongnnse@fpt.edu.vn"")",Chrome 95.0.4638.69,,,2021-11-05 15:58:52,2021-11-05 15:58:53,1.378s,PASSED
"setEncryptedText(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/input_Password_Input.Password""), ""rBiF04Ek6lW1rw3U6XrRJA=="")",Chrome 95.0.4638.69,,,2021-11-05 15:58:53,2021-11-05 15:58:54,0.554s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/button_Log in""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:54,2021-11-05 15:58:56,1.647s,PASSED
"scrollToElement(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/img_Product""), 10)",Chrome 95.0.4638.69,,,2021-11-05 15:58:56,2021-11-05 15:58:56,0.452s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/img_Product""))",Chrome 95.0.4638.69,,,2021-11-05 15:58:56,2021-11-05 15:58:57,1.269s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-05 15:58:57,2021-11-05 15:59:00,3.014s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/price_Product""))",Chrome 95.0.4638.69,,,2021-11-05 15:59:00,2021-11-05 15:59:01,0.506s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/button_Add to cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:59:01,2021-11-05 15:59:02,1.563s,PASSED
delay(2),Chrome 95.0.4638.69,,,2021-11-05 15:59:02,2021-11-05 15:59:04,2.004s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/a_Cart(1)""))",Chrome 95.0.4638.69,,,2021-11-05 15:59:04,2021-11-05 15:59:06,1.381s,PASSED
"click(findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/product_Cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:59:06,2021-11-05 15:59:06,0.640s,PASSED
"takeElementScreenshotAsCheckpoint(""report_Different_Product_Cart"", findTestObject(""Fpt_Different_Product_Cart_Repo/Page_Home  FptBookStore/product_Cart""))",Chrome 95.0.4638.69,,,2021-11-05 15:59:06,2021-11-05 15:59:08,1.737s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-11-05 15:59:08,2021-11-05 15:59:08,0.216s,PASSED
